207.27, 227.76, 3.46, 1.51
216.41, 235.87, 1, 1
212.09, 237.08, 1, 1
220.98, 231.72, 1, 1
222.94, 233.14, 1, 1
224.79, 234.48, 1, 1
226.55, 235.76, 1, 1
228.22, 236.97, 1, 1
229.81, 238.12, 1, 1
224.82, 232.71, 1, 1
226.58, 227.58, 1, 1
221.75, 229.2, 1, 1
223.66, 224.24, 1, 1
218.98, 226.03, 1, 1
214.53, 221.23, 3.29, 1
210.3, 216.66, 7.7, 5.33
206.29, 218.83, 8.64, 6.24
208.97, 214.39, 9.54, 7.1
205.03, 210.17, 13.63, 11.17
201.27, 206.16, 17.52, 15.04
197.71, 202.35, 21.21, 18.72
200.82, 205.24, 18.21, 15.72
197.28, 201.47, 21.87, 19.38
200.42, 197.9, 22.09, 19.59
196.9, 201.01, 22.29, 19.8
193.55, 203.95, 22.48, 20.01
190.38, 193.76, 29.14, 26.72
187.36, 197.07, 28.97, 26.6
184.49, 200.22, 28.82, 26.48
194.76, 203.21, 22.17, 19.86
191.53, 199.54, 25.61, 23.32
194.95, 196.07, 25.61, 23.37
198.2, 199.26, 22.36, 20.17
207.79, 202.3, 16.02, 13.88
216.9, 211.69, 6.75, 4.66
219.06, 207.6, 7.7, 5.64
214.6, 216.72, 5.35, 3.32
223.37, 212.39, 3.12, 1.12
218.71, 221.27, 1.0, 1
227.27, 216.7, 1, 1
228.91, 225.37, 1, 1
230.46, 227.1, 1, 1
231.94, 228.74, 1, 1
233.34, 230.31, 1, 1
234.67, 231.79, 1, 1
235.94, 233.2, 1, 1
224.14, 221.54, 1, 1
225.94, 223.47, 1, 1
221.14, 218.79, 1, 1
223.08, 220.85, 1, 1
218.43, 216.31, 1, 1
214.01, 218.49, 1, 1
209.81, 214.07, 1, 1
205.82, 209.87, 1, 1
202.03, 205.87, 3.69, 1.75
204.92, 202.08, 4.14, 2.19
194.68, 198.48, 11.07, 9.11
191.44, 195.05, 14.4, 12.43
188.37, 191.8, 17.57, 15.6
185.45, 188.71, 20.57, 18.6
182.68, 185.77, 23.42, 21.46
180.05, 176.48, 29.37, 27.43
184.04, 180.66, 25.28, 23.35
174.84, 178.13, 30, 29.22
179.1, 175.72, 30, 28.32
176.65, 179.93, 29.28, 27.47
174.31, 177.44, 30, 29.91
172.1, 181.57, 30, 28.99
169.99, 185.49, 29.75, 28.11
167.99, 176.21, 30, 30
172.59, 180.4, 30, 29.4
176.96, 184.38, 26.74, 25.25
181.12, 188.16, 22.76, 21.3
178.56, 191.76, 22.23, 20.79
182.63, 188.67, 21.74, 20.29
186.5, 198.73, 14.78, 13.32
183.67, 195.3, 17.92, 16.44
193.99, 205.03, 7.91, 6.4
197.29, 214.28, 1.65, 1
206.93, 223.07, 1, 1
203.08, 218.41, 1, 1
212.43, 226.99, 1, 1
214.81, 222.14, 1, 1
210.57, 217.54, 1, 1
206.54, 213.16, 1, 1
209.21, 215.5, 1, 1
211.75, 217.73, 1, 1
201.16, 219.84, 1, 1
204.1, 208.85, 1, 1
193.9, 211.41, 4.83, 3.2
190.7, 207.34, 8.48, 6.82
194.17, 209.97, 5.44, 3.75
190.96, 205.97, 9.06, 7.34
187.91, 202.17, 12.49, 10.76
191.52, 205.06, 9.25, 7.51
181.94, 201.31, 15.91, 14.17
179.34, 197.74, 18.99, 17.26
183.38, 200.86, 15.41, 13.69
180.71, 197.31, 18.51, 16.8
184.67, 200.45, 14.96, 13.25
175.44, 203.43, 18.1, 16.37
173.17, 206.25, 17.83, 16.09
177.51, 208.94, 14.32, 12.57
181.63, 198.5, 17.48, 15.73
185.55, 195.07, 17.22, 15.49
189.27, 191.82, 16.98, 15.26
192.81, 201.73, 10.26, 8.54
196.17, 204.64, 7.13, 5.39
199.36, 207.41, 4.16, 2.41
202.39, 210.04, 1.33, 1
205.27, 212.54, 1, 1
208.01, 214.91, 1, 1
204.11, 217.16, 1, 1
200.4, 219.31, 1, 1
203.38, 208.34, 1.69, 1
206.21, 210.92, 1, 1
202.4, 206.88, 2.9, 1.15
205.28, 209.53, 1, 1
201.52, 205.56, 3.99, 2.27
197.94, 201.78, 7.66, 5.95
